INCIDENT_AREA,EXACT_LOCATION,CRIME,WEAPON
Wilshire,STREET,VEHICLE - STOLEN,
Central,BUS STOP/LAYOVER (ALSO QUERY 124),BURGLARY FROM VEHICLE,
Southwest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",BIKE - STOLEN,
Van Nuys,CLOTHING STORE,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),
Hollywood,SIDEWALK,THEFT OF IDENTITY,
Southeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Central,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Southwest,CELL PHONE STORE,THEFT OF IDENTITY,
Newton,CYBERSPACE,THEFT OF IDENTITY,
Mission,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Southeast,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Mission,SINGLE FAMILY DWELLING,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
West Valley,STREET,VEHICLE - STOLEN,
Rampart,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",
Southwest,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Southeast,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",THEFT OF IDENTITY,
Newton,SINGLE FAMILY DWELLING,THEFT OF IDENTITY,
Wilshire,STREET,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",VEHICLE
West Valley,SINGLE FAMILY DWELLING,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",
