CRIMINAL_ID,INCIDENT_DATE,INCIDENT_AREA
190326475,03/01/2020 12:00:00 AM,Wilshire
200106753,02/09/2020 12:00:00 AM,Central
200320258,11/11/2020 12:00:00 AM,Southwest
200907217,05/10/2023 12:00:00 AM,Van Nuys
220614831,08/18/2022 12:00:00 AM,Hollywood
231808869,04/04/2023 12:00:00 AM,Southeast
230110144,04/04/2023 12:00:00 AM,Central
220314085,07/22/2022 12:00:00 AM,Southwest
231309864,04/28/2023 12:00:00 AM,Newton
211904005,12/31/2020 12:00:00 AM,Mission
221804943,01/21/2022 12:00:00 AM,Southeast
221908151,04/12/2022 12:00:00 AM,Mission
230204214,01/05/2023 12:00:00 AM,Rampart
221008844,05/06/2022 12:00:00 AM,West Valley
230207571,03/16/2023 12:00:00 AM,Rampart
230312288,06/01/2023 12:00:00 AM,Southwest
231805781,02/03/2023 12:00:00 AM,Southeast
231322474,12/24/2023 12:00:00 AM,Newton
210705560,11/27/2020 12:00:00 AM,Wilshire
221016258,09/20/2022 12:00:00 AM,West Valley
220705246,02/03/2022 12:00:00 AM,Wilshire
230808643,04/25/2023 12:00:00 AM,West LA
231907172,03/21/2023 12:00:00 AM,Mission
232011098,06/04/2023 12:00:00 AM,Olympic
200412582,09/09/2020 12:00:00 AM,Hollenbeck
232112438,08/03/2023 12:00:00 AM,Topanga
221105176,02/02/2022 12:00:00 AM,Northeast
222106031,02/23/2022 12:00:00 AM,Topanga
211209197,03/20/2021 12:00:00 AM,77th Street
220808837,04/28/2022 12:00:00 AM,West LA
231207725,02/27/2023 12:00:00 AM,77th Street
231205231,01/17/2023 12:00:00 AM,77th Street
231108757,05/09/2023 12:00:00 AM,Northeast
221404806,01/19/2022 12:00:00 AM,Pacific
220215983,09/06/2022 12:00:00 AM,Rampart
211220472,09/27/2021 12:00:00 AM,77th Street
211818877,10/22/2021 12:00:00 AM,Southeast
221515929,10/10/2022 12:00:00 AM,N Hollywood
230406865,03/28/2023 12:00:00 AM,Hollenbeck
231915767,10/25/2023 12:00:00 AM,Mission
221016530,11/15/2022 12:00:00 AM,West Valley
231210407,04/18/2023 12:00:00 AM,77th Street
220208037,03/30/2022 12:00:00 AM,Rampart
221504294,01/06/2022 12:00:00 AM,N Hollywood
