INCIDENT_AREA,VICTIM_AGE,CRIME,EXACT_LOCATION
Wilshire,0,VEHICLE - STOLEN,STREET
Central,47,BURGLARY FROM VEHICLE,BUS STOP/LAYOVER (ALSO QUERY 124)
Southwest,19,BIKE - STOLEN,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Van Nuys,19,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),CLOTHING STORE
Hollywood,28,THEFT OF IDENTITY,SIDEWALK
Southeast,41,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Central,25,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,27,THEFT OF IDENTITY,CELL PHONE STORE
Newton,24,THEFT OF IDENTITY,CYBERSPACE
Mission,26,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,26,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Mission,8,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,SINGLE FAMILY DWELLING
Rampart,7,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
West Valley,0,VEHICLE - STOLEN,STREET
Rampart,13,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southwest,56,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,22,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Newton,23,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,31,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",STREET
West Valley,30,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING
Wilshire,57,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
West LA,56,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Mission,12,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Olympic,7,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,0,VEHICLE - STOLEN,STREET
Topanga,46,THEFT OF IDENTITY,WEBSITE
Northeast,30,CRIMINAL THREATS - NO WEAPON DISPLAYED,SINGLE FAMILY DWELLING
Topanga,0,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",OTHER BUSINESS
77th Street,51,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West LA,24,BATTERY - SIMPLE ASSAULT,SINGLE FAMILY DWELLING
77th Street,37,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,27,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Northeast,20,BURGLARY FROM VEHICLE,PARKING LOT
Pacific,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
Rampart,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET
77th Street,29,CRIMINAL THREATS - NO WEAPON DISPLAYED,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Southeast,26,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,33,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollenbeck,34,THEFT OF IDENTITY,OTHER RESIDENCE
Mission,15,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
West Valley,65,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,59,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Rampart,15,CHILD ANNOYING (17YRS & UNDER),"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,9,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),SINGLE FAMILY DWELLING
Newton,33,THEFT OF IDENTITY,CYBERSPACE
Van Nuys,34,THEFT OF IDENTITY,AUTOMATED TELLER MACHINE (ATM)
Mission,35,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Hollywood,-2,BURGLARY,OTHER BUSINESS
Southwest,50,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
77th Street,28,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
N Hollywood,37,CONTEMPT OF COURT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Harbor,64,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",SINGLE FAMILY DWELLING
Rampart,79,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Foothill,40,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
N Hollywood,59,THEFT OF IDENTITY,OTHER BUSINESS
Hollywood,0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT
Northeast,27,THEFT PLAIN - PETTY ($950 & UNDER),PARKING LOT
Devonshire,44,THEFT OF IDENTITY,SINGLE FAMILY DWELLING
Wilshire,32,THEFT OF IDENTITY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
Hollenbeck,16,THEFT OF IDENTITY,OTHER RESIDENCE
