VICTIM_AGE,VICTIM_GENDER,INCIDENT_AREA
0,M,Wilshire
47,M,Central
19,X,Southwest
19,M,Van Nuys
28,M,Hollywood
41,M,Southeast
25,M,Central
27,F,Southwest
24,F,Newton
26,M,Mission
26,M,Southeast
8,F,Mission
7,F,Rampart
0,,West Valley
13,F,Rampart
56,M,Southwest
22,F,Southeast
23,M,Newton
31,F,Wilshire
30,F,West Valley
57,F,Wilshire
56,F,West LA
12,F,Mission
7,F,Olympic
0,,Hollenbeck
46,M,Topanga
30,F,Northeast
0,,Topanga
51,M,77th Street
24,F,West LA
37,M,77th Street
27,M,77th Street
20,M,Northeast
0,,Pacific
0,,Rampart
29,F,77th Street
26,M,Southeast
33,M,N Hollywood
34,F,Hollenbeck
15,F,Mission
65,M,West Valley
59,F,77th Street
15,F,Rampart
9,M,N Hollywood
33,M,Newton
34,F,Van Nuys
35,M,Mission
-2,X,Hollywood
50,M,Southwest
28,F,77th Street
37,M,N Hollywood
64,M,Harbor
79,M,Rampart
40,F,Foothill
59,M,N Hollywood
0,,Hollywood
27,M,Northeast
44,M,Devonshire
32,F,Wilshire
16,M,Hollenbeck
22,F,Central
21,M,Hollywood
0,X,Central
42,F,West LA
15,F,Devonshire
34,F,Northeast
46,F,Devonshire
46,F,Mission
6,M,Southeast
72,F,Devonshire
28,F,West Valley
23,M,Mission
44,F,Pacific
35,M,77th Street
10,F,N Hollywood
60,F,Pacific
0,,N Hollywood
32,F,Southeast
36,F,77th Street
72,F,Southwest
0,,Southeast
0,,Pacific
18,F,N Hollywood
27,F,Rampart
27,F,Southwest
29,F,Southeast
9,F,77th Street
41,F,Van Nuys
44,F,West Valley
17,F,Topanga
25,F,Southwest
5,F,Southwest
36,M,Mission
0,,N Hollywood
18,M,Wilshire
39,M,Northeast
62,M,Rampart
32,M,Devonshire
0,,Northeast
26,F,Wilshire
29,F,N Hollywood
56,F,Van Nuys
24,M,77th Street
32,M,Rampart
25,M,Northeast
44,M,Olympic
30,F,Newton
0,,Pacific
42,M,Devonshire
0,,Mission
58,F,Rampart
30,M,Hollywood
51,M,Newton
63,M,N Hollywood
45,M,Newton
29,M,N Hollywood
59,F,Central
14,F,77th Street
12,F,Newton
12,F,Harbor
30,F,Hollywood
71,F,N Hollywood
14,F,Newton
42,F,Topanga
69,F,West Valley
49,F,Foothill
26,F,Southeast
63,M,Newton
41,M,Van Nuys
57,M,Newton
24,F,Olympic
15,F,Mission
36,M,Central
29,M,Newton
22,F,Van Nuys
5,F,Mission
22,M,Foothill
26,M,Central
38,M,Hollywood
13,F,Rampart
61,M,West Valley
33,F,Topanga
63,M,Olympic
28,M,Rampart
-2,X,Southeast
27,F,Wilshire
20,F,Rampart
28,M,Southeast
31,F,Wilshire
37,F,77th Street
59,F,West Valley
43,M,West Valley
45,M,Pacific
63,M,Southeast
78,F,Hollenbeck
25,M,Topanga
67,M,77th Street
0,X,Harbor
25,F,West LA
26,F,Mission
53,F,Van Nuys
57,F,77th Street
72,M,77th Street
35,F,Devonshire
26,M,Wilshire
28,M,Harbor
47,M,Van Nuys
25,F,West Valley
0,,Newton
29,F,77th Street
21,M,Southeast
54,F,Harbor
0,,West Valley
19,X,Southwest
11,F,Southwest
23,F,77th Street
35,M,Hollywood
39,M,77th Street
37,M,Pacific
60,M,Central
59,F,Wilshire
34,F,Wilshire
54,F,Wilshire
48,M,Van Nuys
46,M,West Valley
20,F,West Valley
27,M,Devonshire
10,F,Hollenbeck
36,F,77th Street
10,F,Hollywood
0,X,Northeast
35,F,77th Street
59,M,Van Nuys
22,M,Olympic
33,F,Olympic
60,M,Olympic
56,M,77th Street
28,F,Wilshire
50,M,Newton
41,M,Devonshire
0,,Northeast
0,M,Hollenbeck
26,M,Northeast
13,F,Mission
6,F,Southeast
37,M,Foothill
30,M,Devonshire
28,M,Newton
73,F,77th Street
5,F,Mission
50,X,Newton
36,F,Harbor
23,M,Newton
10,F,Northeast
64,F,Harbor
54,F,Pacific
21,F,N Hollywood
14,F,77th Street
32,F,Hollywood
26,F,Harbor
0,,Rampart
34,F,Newton
22,F,Hollenbeck
33,M,Newton
22,M,Pacific
38,F,Hollenbeck
36,M,Devonshire
0,X,Southeast
52,M,Hollywood
29,M,N Hollywood
54,M,Mission
42,M,Olympic
41,M,Southeast
43,M,Wilshire
33,F,Foothill
0,X,West LA
57,F,Hollywood
45,F,West Valley
22,F,77th Street
24,F,77th Street
27,F,Newton
0,,Harbor
48,F,Wilshire
37,M,Devonshire
42,F,77th Street
30,F,Southwest
12,M,Harbor
40,M,Northeast
21,M,77th Street
0,,77th Street
42,M,Southeast
68,M,Hollenbeck
18,F,Wilshire
39,F,N Hollywood
31,F,Olympic
81,M,Topanga
54,F,Southwest
78,F,Mission
8,F,Rampart
53,F,Southeast
54,F,Hollywood
32,M,Pacific
27,F,Southeast
22,M,Rampart
11,F,Devonshire
30,F,Southeast
60,M,Northeast
41,M,Hollywood
44,M,Foothill
38,F,Olympic
56,F,Mission
8,F,77th Street
62,M,Olympic
29,F,Newton
53,F,Newton
33,F,Southwest
32,M,West LA
34,M,Rampart
38,M,Rampart
29,F,Wilshire
38,F,Topanga
11,F,Foothill
7,F,Mission
14,F,Foothill
19,F,Rampart
62,M,West LA
28,F,Pacific
48,M,Central
8,M,Mission
6,F,Southwest
28,M,Hollywood
12,F,Hollenbeck
28,F,Harbor
31,M,77th Street
54,M,Pacific
31,F,Mission
19,F,Central
50,M,Southwest
23,F,Topanga
53,M,Southwest
26,M,Northeast
48,M,N Hollywood
16,M,Mission
45,F,Hollywood
50,F,Van Nuys
46,M,Van Nuys
44,F,West LA
52,M,Topanga
80,F,West Valley
51,M,Devonshire
14,F,Harbor
33,F,Wilshire
41,F,77th Street
0,,Harbor
51,M,Newton
8,F,Mission
30,M,Southwest
3,M,Southeast
55,F,Central
0,X,Central
28,M,Central
0,X,77th Street
33,F,N Hollywood
28,F,77th Street
49,M,Hollywood
44,F,Wilshire
23,F,Southeast
31,M,Newton
37,F,West LA
13,F,West Valley
20,F,Van Nuys
43,M,Rampart
58,F,Hollywood
22,M,Foothill
58,M,Hollywood
43,F,Foothill
13,M,Southwest
50,F,Hollenbeck
27,M,Wilshire
62,M,Devonshire
16,F,Foothill
10,F,Olympic
46,F,Devonshire
11,M,Olympic
28,F,Hollywood
18,F,Harbor
50,F,Pacific
29,F,Southwest
19,M,Topanga
6,F,Foothill
17,F,Rampart
52,F,77th Street
31,F,Devonshire
89,F,Olympic
27,F,77th Street
32,M,Newton
25,F,Harbor
55,M,Foothill
32,F,Wilshire
44,F,Southwest
44,M,Devonshire
70,M,West LA
37,M,Northeast
21,F,77th Street
0,,77th Street
0,M,Harbor
59,M,Van Nuys
35,F,Rampart
15,F,N Hollywood
33,F,Van Nuys
18,F,Pacific
8,F,77th Street
14,F,N Hollywood
33,F,Wilshire
0,,Pacific
-2,M,Pacific
53,M,Harbor
32,F,77th Street
35,M,Topanga
36,M,77th Street
54,F,Rampart
27,M,Hollenbeck
59,M,77th Street
52,F,Mission
77,M,Pacific
58,M,N Hollywood
61,M,West Valley
22,F,77th Street
31,F,West Valley
18,F,Newton
0,,Newton
46,M,Hollywood
23,F,Central
54,F,Olympic
32,M,Topanga
50,F,Wilshire
56,F,West Valley
41,M,Topanga
37,M,Northeast
0,,West Valley
7,F,Mission
37,M,Hollywood
42,F,77th Street
32,M,Southwest
56,M,West LA
0,X,Northeast
60,M,Southwest
29,M,Newton
26,F,Newton
29,M,Olympic
35,F,Devonshire
0,,Topanga
48,F,West Valley
23,M,N Hollywood
0,,Southwest
42,F,Southwest
22,F,Foothill
47,M,77th Street
30,F,N Hollywood
43,F,Newton
10,F,Mission
51,F,Southeast
33,M,Southeast
42,M,West LA
52,F,77th Street
57,F,Foothill
41,M,West LA
12,F,77th Street
26,F,West Valley
28,F,Central
0,,Topanga
32,F,Wilshire
52,F,Olympic
41,M,N Hollywood
12,F,Foothill
20,M,Foothill
14,M,Hollywood
32,M,N Hollywood
0,X,Northeast
53,M,West LA
24,F,Southwest
31,M,Southwest
83,F,West Valley
31,F,77th Street
65,M,Wilshire
91,F,N Hollywood
32,M,West LA
47,M,77th Street
40,F,Southwest
0,,Rampart
41,M,Topanga
82,F,West LA
31,M,Mission
25,M,Hollywood
39,M,77th Street
54,F,West Valley
28,F,Rampart
0,M,Devonshire
30,M,Newton
33,F,Van Nuys
52,M,Van Nuys
0,,Central
58,F,Hollywood
56,F,Southwest
52,M,77th Street
47,M,West LA
49,M,Rampart
0,,Pacific
36,M,77th Street
14,F,Foothill
19,X,Wilshire
75,M,Hollenbeck
19,F,Rampart
18,F,Mission
23,M,Central
42,M,77th Street
37,M,Mission
21,M,Southeast
34,F,Hollywood
34,F,Southwest
30,F,Devonshire
56,F,Hollenbeck
59,M,N Hollywood
13,F,N Hollywood
24,F,Harbor
49,F,Hollywood
39,F,Newton
72,F,Devonshire
40,F,Devonshire
31,F,Pacific
30,M,Southeast
0,,Van Nuys
0,,N Hollywood
33,M,Devonshire
36,F,Wilshire
16,F,Newton
5,M,Van Nuys
32,M,Rampart
42,M,Newton
36,M,Olympic
0,,Central
68,M,West LA
23,F,77th Street
54,M,Northeast
7,M,Northeast
0,,Rampart
28,F,West Valley
75,F,Olympic
55,F,West LA
16,F,Pacific
49,F,Hollywood
49,F,Harbor
37,M,77th Street
0,,Wilshire
29,F,West LA
34,M,Southeast
0,,Newton
28,F,Southeast
39,M,Central
0,X,77th Street
13,F,Southeast
0,M,Central
70,F,West Valley
54,M,77th Street
40,M,77th Street
41,F,Van Nuys
22,F,Harbor
59,M,Van Nuys
23,M,Southwest
53,M,Wilshire
30,F,N Hollywood
0,,Van Nuys
31,F,Mission
48,M,West Valley
9,F,Mission
22,M,Devonshire
21,M,Olympic
33,M,N Hollywood
0,,N Hollywood
53,M,Hollywood
62,M,West Valley
48,F,Olympic
13,F,Harbor
34,F,Southeast
60,M,Wilshire
36,M,Harbor
16,F,N Hollywood
25,F,N Hollywood
19,M,Mission
33,M,Pacific
33,M,N Hollywood
31,M,77th Street
16,M,Topanga
40,M,N Hollywood
33,M,Harbor
27,F,77th Street
34,M,Topanga
0,X,West LA
10,F,77th Street
23,F,Pacific
76,M,Southeast
30,F,Pacific
50,F,Northeast
31,F,Central
56,M,77th Street
0,,Hollenbeck
74,M,Foothill
43,M,Central
20,F,77th Street
44,F,Rampart
46,M,77th Street
42,F,Devonshire
41,M,Mission
24,F,Southeast
43,M,Olympic
31,M,Rampart
34,F,N Hollywood
56,M,Pacific
30,F,Southeast
30,F,Van Nuys
11,F,Southeast
35,F,Harbor
-1,M,Topanga
22,F,Pacific
0,M,Central
37,F,Rampart
65,M,Foothill
25,M,N Hollywood
52,F,Devonshire
0,,77th Street
13,F,West LA
23,F,Devonshire
45,F,Topanga
13,F,Foothill
31,M,Central
0,,N Hollywood
-1,X,Pacific
33,F,N Hollywood
44,M,Pacific
28,F,N Hollywood
30,F,West Valley
0,,Rampart
35,M,Olympic
48,F,Central
50,M,West Valley
38,M,77th Street
37,M,Devonshire
25,F,N Hollywood
46,M,Rampart
69,M,West Valley
26,M,Harbor
45,M,Hollywood
10,F,Rampart
16,F,West Valley
0,,Wilshire
52,M,N Hollywood
33,M,Southeast
52,M,Central
65,F,Devonshire
-1,X,Southeast
61,M,Topanga
16,F,77th Street
0,,Olympic
35,F,Rampart
14,F,Mission
36,F,Foothill
3,M,Olympic
40,F,Harbor
21,F,Topanga
32,M,Foothill
-1,X,Olympic
31,F,Pacific
56,F,Olympic
38,M,Topanga
62,F,Hollywood
8,F,Devonshire
11,F,Devonshire
22,M,Pacific
26,F,Topanga
23,M,Southwest
22,F,Wilshire
27,M,Northeast
0,,Van Nuys
59,F,Van Nuys
38,F,Harbor
